frame_number,track_id,vehicle_class,x1,y1,x2,y2,centroid_x,centroid_y,confidence
3,21,car,1520.99,835.37,1633.24,947.51,1577.12,891.44,0.3456
3,22,car,954.58,289.41,988.89,339.31,971.73,314.36,0.437
3,23,motorcycle,909.48,312.75,933.99,349.76,921.73,331.26,0.2802
3,24,car,402.96,881.62,536.38,1063.13,469.67,972.37,0.7793
3,25,car,851.55,175.76,891.17,205.63,871.36,190.69,0.4059
3,26,car,832.25,222.95,861.43,260.58,846.84,241.77,0.411
3,27,motorcycle,1215.96,529.67,1241.63,571.5,1228.8,550.59,0.4487
3,28,motorcycle,945.78,430.87,975.7,480.51,960.74,455.69,0.2914
3,29,car,1268.58,470.18,1313.04,512.89,1290.81,491.54,0.312
3,30,car,811.67,160.51,845.89,192.16,828.78,176.34,0.4241
3,31,car,1273.49,494.01,1323.16,559.21,1298.32,526.61,0.2988
3,32,motorcycle,920.56,234.4,937.72,269.85,929.14,252.12,0.4576
3,33,car,1247.78,443.13,1293.23,497.54,1270.51,470.34,0.331
3,34,truck,898.02,187.87,930.69,223.97,914.36,205.92,0.2689
3,37,motorcycle,954.53,289.93,989.36,340.52,971.95,315.22,0.3802
4,1,car,168.35,893.79,373.64,1076.65,271.0,985.22,0.9309
4,2,bus,637.96,458.87,846.28,751.94,742.12,605.4,0.9227
4,3,car,272.43,568.54,426.41,692.23,349.42,630.39,0.8998
4,4,car,536.49,416.27,636.74,504.95,586.62,460.61,0.8883
4,5,car,556.47,765.1,728.78,976.2,642.62,870.65,0.8648
4,6,car,1396.9,621.36,1509.82,741.36,1453.36,681.36,0.839
4,7,car,684.39,357.98,764.26,438.56,724.32,398.27,0.8526
4,8,car,615.13,315.05,687.17,377.83,651.15,346.44,0.7535
4,9,car,591.5,502.82,691.91,611.45,641.71,557.14,0.8524
4,10,car,730.14,276.85,779.17,330.22,754.65,303.53,0.6957
4,11,car,705.75,237.19,761.71,276.05,733.73,256.62,0.7362
4,12,car,789.29,266.42,839.07,314.01,814.18,290.21,0.804
